"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX27795457","ATAC-seq of CC_2; Whole soft tissues","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP566191","ATAC-seq data from Crassostrea gigas strains with growth differences","SRS24172475","","8349.76","1","86258280","25865031608","CC-2","ATAC-seq","GENOMIC","RANDOM PCR"
"SRX27795456","ATAC-seq of CC_1; Whole soft tissues","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP566191","ATAC-seq data from Crassostrea gigas strains with growth differences","SRS24172474","","6715.29","1","68997659","20688516344","CC-1","ATAC-seq","GENOMIC","RANDOM PCR"
"SRX27795455","ATAC-seq of CH_2; Whole soft tissues","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP566191","ATAC-seq data from Crassostrea gigas strains with growth differences","SRS24172473","","7185.89","1","73213269","21947791210","CH-2","ATAC-seq","GENOMIC","RANDOM PCR"
"SRX27795454","ATAC-seq of CH_1; Whole soft tissues","Magallana gigas","Illumina NovaSeq 6000","Ocean University of China","SRP566191","ATAC-seq data from Crassostrea gigas strains with growth differences","SRS24172472","","6199.16","1","63421577","19017675684","CH-1","ATAC-seq","GENOMIC","RANDOM PCR"
"ERX13315308","GT4_21_T1_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388520","","10972.74","1","108898335","32669500500","GT4_21_T1_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315290","GT5_06_T1_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388502","","9254.5","1","92457337","27737201100","GT5_06_T1_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315281","GT1_09_T0_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388493","","11954.43","1","118537385","35561215500","GT1_09_T0_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315309","GT5_06_T0_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388521","","9682.3","1","97236200","29170860000","GT5_06_T0_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315298","GT4_21_T1_G_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388510","","10142.82","1","100960578","30288173400","GT4_21_T1_G_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315282","GT1_09_T1_G_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388494","","9845.03","1","96836254","29050876200","GT1_09_T1_G_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315320","GT5_17_T1_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388532","","7287.87","1","74143100","22242930000","GT5_17_T1_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315311","GT1_16_T0_M_S","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388523","","16430.78","1","161705499","48511649700","GT1_16_T0_M_S","Bisulfite-Seq","GENOMIC","other"
"ERX13315304","GT2_18_T1_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388516","","9933.75","1","96630117","28989035100","GT2_18_T1_M_R","Bisulfite-Seq","GENOMIC","other"
"ERX13315307","GT4_21_T0_M_R","Magallana gigas","Illumina NovaSeq 6000","The French Research Institute for Exploitation of ","ERP165671","Enzymatic Methyl sequencing of gills and mantle before and after POMS infection in Pacific oyster Magallana gigas GESTINOV 2021","ERS21388519","","11536.02","1","113542853","34062855900","GT4_21_T0_M_R","Bisulfite-Seq","GENOMIC","other"
